category	number_of_genes	p_value	fdr	description
InterPro	10	1.42e-15	2.04e-12	MCM domain
InterPro	10	1.42e-15	2.04e-12	Mini-chromosome maintenance protein
InterPro	10	1.42e-15	2.04e-12	MCM, AAA-lid domain
COMPARTMENTS	9	3.93e-14	2.05e-12	DNA-dependent protein kinase complex
Keyword	54	5.93e-14	2.1e-12	Isopeptide bond
DISEASES	80	4.6e-15	2.11e-12	Monogenic disease
NetworkNeighborAL	10	1.46e-14	2.15e-12	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway, and PNK, FHA domain
Component	9	3.93e-14	2.17e-12	Nonhomologous end joining complex
HPO	23	5.33e-14	2.31e-12	Delayed skeletal maturation
Process	10	2.41e-14	2.52e-12	Negative regulation of DNA-templated DNA replication
HPO	10	6.1e-14	2.62e-12	Abnormality of DNA repair
HPO	28	6.15e-14	2.63e-12	Hypoplastic male external genitalia
RCTM	11	1.05e-13	2.7e-12	G1/S-Specific Transcription
HPO	28	6.47e-14	2.76e-12	Cardiomyopathy
Function	15	2.11e-14	2.89e-12	Exonuclease activity
HPO	57	7.12e-14	3.03e-12	Cognitive impairment
HPO	9	7.4e-14	3.13e-12	Chromosomal breakage induced by crosslinking agents
HPO	24	7.7e-14	3.25e-12	Abnormality of the curvature of the cornea
HPO	51	8.33e-14	3.51e-12	Global developmental delay
HPO	25	8.68e-14	3.64e-12	Abnormality iris morphology
Process	11	3.87e-14	3.99e-12	Translesion synthesis
HPO	39	9.64e-14	4.03e-12	Abnormal conjugate eye movement
Process	15	5.59e-14	5.73e-12	Negative regulation of response to DNA damage stimulus
Process	30	5.81e-14	5.92e-12	Cell division
HPO	45	1.52e-13	6.3e-12	Abnormal foot morphology
Process	16	6.43e-14	6.51e-12	Regulation of telomere maintenance
Process	12	6.63e-14	6.66e-12	Negative regulation of telomere maintenance
Function	12	5.08e-14	6.77e-12	Telomeric DNA binding
COMPARTMENTS	9	1.33e-13	6.82e-12	Origin recognition complex
HPO	38	1.68e-13	6.93e-12	Strabismus
HPO	64	1.85e-13	7.64e-12	Abnormality of the digestive system
Process	23	8.08e-14	8.07e-12	Chromosome segregation
HPO	48	1.98e-13	8.13e-12	Abnormality of the upper limb
HPO	52	2.12e-13	8.69e-12	Intellectual disability
RCTM	18	3.43e-13	8.7e-12	Cellular Senescence
Process	15	8.87e-14	8.8e-12	G1/S transition of mitotic cell cycle
HPO	46	2.17e-13	8.85e-12	Abnormal ear morphology
HPO	44	2.22e-13	9.02e-12	Abnormality of blood and blood-forming tissues
HPO	21	2.45e-13	9.95e-12	Hypertrophic cardiomyopathy
HPO	56	2.49e-13	1.01e-11	Abnormal oral cavity morphology
HPO	46	2.6e-13	1.04e-11	Hearing abnormality
COMPARTMENTS	10	2.12e-13	1.06e-11	DNA recombinase mediator complex
HPO	14	2.68e-13	1.07e-11	Cutaneous photosensitivity
HPO	12	2.89e-13	1.15e-11	Absent thumb
HPO	52	3.13e-13	1.24e-11	Abnormality of the vasculature
Keyword	14	3.68e-13	1.24e-11	Endonuclease
Process	59	1.36e-13	1.35e-11	Positive regulation of nucleobase-containing compound metabolic process
HPO	75	3.42e-13	1.36e-11	Abnormality of the musculoskeletal system
HPO	38	3.53e-13	1.39e-11	Abnormality of the forehead
HPO	21	3.55e-13	1.4e-11	Patent ductus arteriosus
Process	11	1.44e-13	1.41e-11	Cellular response to gamma radiation
HPO	45	3.86e-13	1.51e-11	Hearing impairment
HPO	79	4e-13	1.56e-11	Abnormality of the nervous system
Process	14	1.63e-13	1.59e-11	Regulation of double-strand break repair via homologous recombination
RCTM	9	6.32e-13	1.59e-11	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
Keyword	25	5.39e-13	1.72e-11	Cell division
HPO	57	4.63e-13	1.8e-11	Abnormality of the mouth
Process	10	2.12e-13	2.05e-11	DNA double-strand break processing
Component	36	3.8e-13	2.05e-11	Nuclear body
HPO	44	6.16e-13	2.39e-11	Abnormality of the vertebral column
HPO	46	6.36e-13	2.46e-11	Abnormal ear physiology
Process	11	2.62e-13	2.52e-11	Somatic recombination of immunoglobulin gene segments
HPO	24	6.8e-13	2.63e-11	Atrial septal defect
RCTM	8	1.09e-12	2.7e-11	CDC6 association with the ORC:origin complex
RCTM	8	1.09e-12	2.7e-11	DNA replication initiation
HPO	30	8.47e-13	3.25e-11	Abnormality of toe
Process	47	3.55e-13	3.4e-11	Macromolecule biosynthetic process
HPO	34	8.91e-13	3.41e-11	Abnormal cerebral ventricle morphology
Component	39	6.73e-13	3.53e-11	Nucleolus
InterPro	9	3.93e-14	3.53e-11	MCM OB domain
WikiPathways	9	1e-12	3.56e-11	miRNAs involved in DNA damage response
HPO	22	9.81e-13	3.74e-11	Abnormal aortic morphology
HPO	23	1.1e-12	4.18e-11	Abnormality of skeletal maturation
NetworkNeighborAL	10	3.1e-13	4.43e-11	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase inhibitor activity
Process	15	4.85e-13	4.61e-11	Meiotic chromosome segregation
RCTM	8	2.04e-12	4.94e-11	E2F-enabled inhibition of pre-replication complex formation
DISEASES	10	1.42e-13	5.03e-11	Retinal cancer
HPO	61	1.35e-12	5.13e-11	Abnormality of higher mental function
COMPARTMENTS	8	1.09e-12	5.32e-11	DNA replication factor A complex
RCTM	10	2.31e-12	5.55e-11	G0 and Early G1
Component	8	1.09e-12	5.56e-11	MCM complex
HPO	55	1.49e-12	5.61e-11	Neurodevelopmental delay
Process	9	6.32e-13	5.97e-11	Telomere maintenance via recombination
HPO	26	1.59e-12	5.99e-11	Abnormal uvea morphology
HPO	38	1.6e-12	6.02e-11	Abnormality of the curvature of the vertebral column
Keyword	13	2.06e-12	6.3e-11	Nucleotidyltransferase
HPO	50	1.88e-12	7.03e-11	Abnormality of the respiratory system
HPO	26	2.02e-12	7.55e-11	Epicanthus
HPO	61	2.02e-12	7.55e-11	Neurodevelopmental abnormality
HPO	57	2.49e-12	9.22e-11	Abnormal eye morphology
KEGG	13	2.83e-12	9.5e-11	p53 signaling pathway
Process	14	1.06e-12	9.87e-11	Negative regulation of chromosome organization
HPO	14	2.8e-12	1.03e-10	Short thumb
HPO	12	2.82e-12	1.04e-10	Telangiectasia of the skin
Component	15	2.19e-12	1.09e-10	Serine/threonine protein kinase complex
Function	10	8.92e-13	1.12e-10	Exodeoxyribonuclease activity, producing 5-phosphomonoesters
Keyword	49	4.03e-12	1.18e-10	Hydrolase
RCTM	9	5.12e-12	1.22e-10	Translesion Synthesis by POLH
HPO	9	3.5e-12	1.29e-10	Poikiloderma
HPO	47	3.63e-12	1.33e-10	Abnormality of eye movement
HPO	8	3.63e-12	1.33e-10	Microtia, third degree
Process	15	1.53e-12	1.42e-10	Positive regulation of chromosome organization
Process	9	1.55e-12	1.43e-10	Replicative senescence
NetworkNeighborAL	8	1.09e-12	1.51e-10	DNA replication initiation
HPO	54	4.45e-12	1.62e-10	Abnormality of the ear
COMPARTMENTS	8	3.63e-12	1.74e-10	XPC complex
HPO	62	4.83e-12	1.76e-10	Abnormality of the cardiovascular system
HPO	39	5.35e-12	1.94e-10	Abnormality of the abdominal organs
HPO	8	6.22e-12	2.25e-10	Anotia
HPO	28	7.09e-12	2.55e-10	Abnormal cardiac septum morphology
HPO	9	7.35e-12	2.64e-10	Patellar aplasia
InterPro	17	3.53e-13	2.82e-10	AAA+ ATPase domain
HPO	36	8.97e-12	3.21e-10	Abnormality of the urinary system physiology
Process	8	3.63e-12	3.33e-10	DNA ligation
HPO	36	9.8e-12	3.5e-10	Nystagmus
Function	61	3.12e-12	3.66e-10	Hydrolase activity
Process	10	4.14e-12	3.78e-10	Chromosome separation
HPO	16	1.19e-11	4.24e-10	Craniosynostosis
DISEASES	82	1.39e-12	4.25e-10	Genetic disease
HPO	36	1.2e-11	4.26e-10	Abnormal involuntary eye movements
HPO	38	1.22e-11	4.31e-10	Abnormal reflex
Process	47	4.88e-12	4.4e-10	Reproductive process
COMPARTMENTS	29	9.41e-12	4.42e-10	Nucleolus
DISEASES	9	1.55e-12	4.46e-10	Retinoblastoma
HPO	39	1.3e-11	4.6e-10	Abnormality of the upper urinary tract
DISEASES	15	1.94e-12	4.96e-10	Ovarian disease
Process	17	5.76e-12	5.16e-10	Positive regulation of response to DNA damage stimulus
HPO	39	1.49e-11	5.21e-10	Abnormal anterior eye segment morphology
Function	9	5.12e-12	5.87e-10	ATP-dependent DNA damage sensor activity
RCTM	8	2.57e-11	6.04e-10	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
Function	10	5.47e-12	6.14e-10	DNA secondary structure binding
COMPARTMENTS	11	1.47e-11	6.78e-10	Cyclin-dependent protein kinase holoenzyme complex
DISEASES	12	2.82e-12	6.82e-10	Ovarian cancer
Process	19	7.91e-12	7.01e-10	Nuclear chromosome segregation
HPO	71	2.07e-11	7.2e-10	Abnormal nervous system physiology
Process	72	8.48e-12	7.47e-10	Positive regulation of nitrogen compound metabolic process
HPO	67	2.3e-11	7.99e-10	Abnormality of the eye
DISEASES	8	3.63e-12	8.35e-10	Xeroderma pigmentosum group G
Function	61	8.48e-12	9.3e-10	Anion binding
DISEASES	18	4.37e-12	9.57e-10	Female reproductive system disease
Component	20	2.03e-11	9.66e-10	Condensed chromosome
HPO	38	2.8e-11	9.7e-10	Abnormality of the kidney
Process	92	1.4e-11	1.23e-09	Negative regulation of cellular process
DISEASES	8	6.22e-12	1.24e-09	Meier-Gorlin syndrome
DISEASES	26	6.75e-12	1.29e-09	Hematopoietic system disease
HPO	8	3.9e-11	1.34e-09	Breast aplasia
HPO	10	3.94e-11	1.35e-09	Freckling
HPO	24	3.94e-11	1.35e-09	Vascular skin abnormality
COMPARTMENTS	7	3.02e-11	1.36e-09	BRCA1-C complex
COMPARTMENTS	7	3.02e-11	1.36e-09	ERCC4-ERCC1 complex
COMPARTMENTS	7	3.02e-11	1.36e-09	DNA ligase IV complex
HPO	32	4.06e-11	1.39e-09	Abnormality of prenatal development or birth
HPO	11	4.47e-11	1.52e-09	Bone marrow hypocellularity
HPO	33	4.62e-11	1.57e-09	Abnormality of globe location
DISEASES	14	8.8e-12	1.62e-09	Female reproductive organ cancer
RCTM	8	8.45e-11	1.97e-09	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)
WikiPathways	15	7.27e-11	2.47e-09	Male infertility
HPO	11	7.46e-11	2.53e-09	Squamous cell carcinoma
HPO	34	8.03e-11	2.71e-09	Scoliosis
HPO	59	8.17e-11	2.75e-09	Abnormal eye physiology
RCTM	11	1.21e-10	2.77e-09	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
Process	19	3.48e-11	3.03e-09	Positive regulation of cell cycle process
NetworkNeighborAL	8	2.57e-11	3.45e-09	Mixed, incl. Xeroderma pigmentosum variant type, and Rad18-like CCHC zinc finger
Function	35	3.55e-11	3.8e-09	Transferase activity, transferring phosphorus-containing groups
Component	41	8.22e-11	3.82e-09	Chromatin
NetworkNeighborAL	7	3.02e-11	3.94e-09	Fanconi anaemia nuclear complex
NetworkNeighborAL	7	3.02e-11	3.94e-09	CDC6 association with the ORC:origin complex
NetworkNeighborAL	7	3.02e-11	3.94e-09	RecQ family helicase-topoisomerase III complex, and RQC domain
HPO	8	1.21e-10	4.06e-09	Entropion
Process	14	4.82e-11	4.17e-09	Positive regulation of cell cycle phase transition
COMPARTMENTS	7	9.88e-11	4.21e-09	Pre-replicative complex
COMPARTMENTS	12	1.05e-10	4.41e-09	PML body
HPO	55	1.33e-10	4.46e-09	Abnormality of metabolism/homeostasis
Component	7	9.88e-11	4.5e-09	Nuclear origin of replication recognition complex
HPO	13	1.44e-10	4.79e-09	Pancytopenia
Process	7	5.61e-11	4.83e-09	Negative regulation of telomere capping
Process	7	5.61e-11	4.83e-09	Nucleotide-excision repair, DNA incision
DISEASES	7	3.02e-11	5.13e-09	Hereditary breast ovarian cancer syndrome
RCTM	10	2.4e-10	5.38e-09	Cyclin D associated events in G1
WikiPathways	15	1.73e-10	5.64e-09	Breast cancer pathway
WikiPathways	12	1.77e-10	5.64e-09	Glioblastoma signaling pathways
HPO	32	1.89e-10	6.28e-09	Abnormal renal morphology
HPO	28	1.91e-10	6.35e-09	Hyperreflexia
RCTM	11	3.01e-10	6.6e-09	G1/S DNA Damage Checkpoints
WikiPathways	12	2.28e-10	6.84e-09	Pyrimidine metabolism
RCTM	10	3.44e-10	7.48e-09	TP53 Regulates Transcription of Cell Cycle Genes
HPO	26	2.3e-10	7.61e-09	Abnormal renal physiology
HPO	33	2.33e-10	7.67e-09	Abnormality of the liver
Component	12	1.77e-10	7.72e-09	Condensed nuclear chromosome
WikiPathways	7	2.7e-10	7.82e-09	SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome
HPO	34	2.48e-10	8.15e-09	Failure to thrive
Process	7	9.88e-11	8.42e-09	Replication fork protection
HPO	27	2.97e-10	9.74e-09	Ventriculomegaly
Process	8	1.21e-10	1.03e-08	Resolution of meiotic recombination intermediates
HPO	8	3.24e-10	1.06e-08	Conjunctival telangiectasia
Keyword	10	4.09e-10	1.15e-08	Exonuclease
Process	10	1.37e-10	1.15e-08	Negative regulation of DNA recombination
HPO	14	3.68e-10	1.2e-08	Dry skin
DISEASES	31	7.39e-11	1.21e-08	Organ system cancer
RCTM	9	5.66e-10	1.22e-08	Aberrant regulation of mitotic cell cycle due to RB1 defects
Process	42	1.64e-10	1.38e-08	Regulation of response to stress
Process	7	1.67e-10	1.39e-08	Mitotic DNA replication checkpoint signaling
Process	7	1.67e-10	1.39e-08	Error-prone translesion synthesis
Process	21	1.72e-10	1.42e-08	Positive regulation of cell cycle
Process	74	1.85e-10	1.52e-08	Positive regulation of macromolecule metabolic process
HPO	21	4.94e-10	1.61e-08	Congenital malformation of the great arteries
HPO	31	5.04e-10	1.64e-08	Generalized abnormality of skin
Process	11	2.24e-10	1.83e-08	Regulation of telomere maintenance via telomere lengthening
NetworkNeighborAL	7	1.67e-10	2.01e-08	Nucleotide-excision repair complex, and XPG/Rad2 endonuclease, eukaryotes
NetworkNeighborAL	7	1.67e-10	2.01e-08	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)
Component	10	4.85e-10	2.07e-08	Cyclin-dependent protein kinase holoenzyme complex
Process	7	2.7e-10	2.2e-08	Telomeric loop disassembly
RCTM	29	1.06e-09	2.25e-08	Cellular responses to stress
Keyword	9	8.56e-10	2.3e-08	4Fe-4S
Function	8	2.37e-10	2.43e-08	DNA polymerase binding
HPO	6	8.4e-10	2.71e-08	Primary peritoneal carcinoma
HPO	37	8.42e-10	2.71e-08	Abnormality of vision
Process	11	3.47e-10	2.8e-08	Positive regulation of telomere maintenance
HPO	15	8.99e-10	2.89e-08	Neoplasm of the skin
Process	33	3.7e-10	2.98e-08	Regulation of transferase activity
Function	53	2.98e-10	3e-08	Enzyme binding
HPO	27	9.54e-10	3.06e-08	Ptosis
HPO	7	9.63e-10	3.07e-08	Mandibular aplasia
Function	104	3.26e-10	3.22e-08	Ion binding
HPO	27	1.05e-09	3.35e-08	Hypertelorism
Process	7	4.24e-10	3.39e-08	UV protection
COMPARTMENTS	6	8.4e-10	3.45e-08	Rad51B-Rad51C-Rad51D-XRCC2 complex
Component	6	8.4e-10	3.51e-08	BRCA1-C complex
Process	9	4.57e-10	3.62e-08	Negative regulation of DNA repair
InterPro	7	5.61e-11	4.03e-08	DNA recombination and repair protein Rad51-like, C-terminal
InterPro	7	5.61e-11	4.03e-08	DNA recombination and repair protein RecA-like, ATP-binding domain
Process	12	5.88e-10	4.63e-08	Positive regulation of mitotic cell cycle phase transition
KEGG	15	1.59e-09	4.86e-08	Viral carcinogenesis
RCTM	11	2.39e-09	4.95e-08	Cyclin E associated events during G1/S transition
InterPro	8	8.45e-11	5.06e-08	DNA/RNA polymerase superfamily
Process	55	6.6e-10	5.18e-08	Negative regulation of cellular metabolic process
RCTM	6	2.69e-09	5.52e-08	POLB-Dependent Long Patch Base Excision Repair
RCTM	11	3e-09	6.12e-08	Cyclin A:Cdk2-associated events at S phase entry
COMPARTMENTS	6	1.55e-09	6.25e-08	Slx1-Slx4 complex
HPO	10	1.97e-09	6.27e-08	Convex nasal ridge
Process	6	8.4e-10	6.56e-08	Resolution of recombination intermediates
Keyword	6	2.69e-09	6.94e-08	Xeroderma pigmentosum
HPO	16	2.4e-09	7.6e-08	Neoplasm of the gastrointestinal tract
Process	13	9.85e-10	7.65e-08	Positive regulation of mitotic cell cycle
Component	12	1.9e-09	7.8e-08	PML body
DISEASES	15	4.93e-10	7.81e-08	Reproductive organ cancer
Process	11	1.02e-09	7.86e-08	Intrinsic apoptotic signaling pathway in response to DNA damage
HPO	18	2.58e-09	8.17e-08	Abnormality of cranial sutures
HPO	6	2.69e-09	8.47e-08	Flat nasal alae
HPO	7	2.79e-09	8.78e-08	Aplastic clavicle
HPO	91	2.93e-09	9.19e-08	Phenotypic abnormality
NetworkNeighborAL	6	8.4e-10	9.61e-08	ATR signaling, and Meiotic DNA double-strand break processing involved in reciprocal meiotic recombination
NetworkNeighborAL	6	8.4e-10	9.61e-08	PNK, FHA domain, and Resolution of AP sites via the single-nucleotide replacement pathway
NetworkNeighborAL	6	8.4e-10	9.61e-08	BRCA1-C complex
NetworkNeighborAL	6	8.4e-10	9.61e-08	Double-strand break repair via break-induced replication
NetworkNeighborAL	6	8.4e-10	9.61e-08	DNA recombination and repair protein Rad51-like, C-terminal, and Rad52 family
HPO	31	3.1e-09	9.68e-08	Abnormality of refraction
Process	9	1.27e-09	9.75e-08	Positive regulation of DNA replication
HPO	9	3.14e-09	9.81e-08	Papilloma
HPO	9	3.14e-09	9.81e-08	Neoplasm of the eye
Process	8	1.31e-09	1e-07	Regulation of telomere capping
Process	8	1.31e-09	1e-07	Mitochondrial genome maintenance
COMPARTMENTS	6	2.69e-09	1.07e-07	Nuclear origin of replication recognition complex
COMPARTMENTS	6	2.69e-09	1.07e-07	PCNA complex
Process	94	1.43e-09	1.08e-07	Negative regulation of biological process
DISEASES	106	7.37e-10	1.13e-07	Disease
HPO	13	3.65e-09	1.13e-07	Prematurely aged appearance
Process	6	1.55e-09	1.17e-07	DNA strand resection involved in replication fork processing
HPO	29	3.81e-09	1.18e-07	Abnormal blood vessel morphology
WikiPathways	8	4.26e-09	1.19e-07	Gastric cancer network 2
HPO	7	3.85e-09	1.19e-07	Prostate cancer
HPO	7	3.85e-09	1.19e-07	Abnormal fallopian tube morphology
DISEASES	6	8.4e-10	1.25e-07	Xeroderma pigmentosum variant type
Function	6	1.55e-09	1.39e-07	Mismatch repair complex binding
HPO	11	4.68e-09	1.43e-07	Dermal atrophy
Process	56	1.95e-09	1.46e-07	Negative regulation of nitrogen compound metabolic process
HPO	12	4.98e-09	1.52e-07	Microtia
NetworkNeighborAL	6	1.55e-09	1.57e-07	DNA replication factor C complex, and PCNA-p21 complex
Function	29	1.79e-09	1.58e-07	Hydrolase activity, acting on ester bonds
HPO	14	5.37e-09	1.63e-07	Aplasia/Hypoplasia of the skin
HPO	13	5.46e-09	1.66e-07	Leukemia
HPO	20	5.73e-09	1.73e-07	Hypoplasia of penis
HPO	11	5.8e-09	1.75e-07	Lymphoma
Process	6	2.69e-09	2.01e-07	Double-strand break repair via synthesis-dependent strand annealing
DISEASES	19	1.42e-09	2.04e-07	Reproductive system disease
Process	7	2.79e-09	2.08e-07	Telomere capping
Process	7	2.79e-09	2.08e-07	Mitochondrial DNA metabolic process
KEGG	10	7.5e-09	2.1e-07	Platinum drug resistance
Function	6	2.69e-09	2.32e-07	Oxidized DNA binding
HPO	24	7.75e-09	2.33e-07	Abnormal morphology of the great vessels
KEGG	15	9.14e-09	2.36e-07	Human T-cell leukemia virus 1 infection
Function	15	2.94e-09	2.5e-07	Protein C-terminus binding
Process	8	3.42e-09	2.52e-07	Telomere maintenance via telomere lengthening
HPO	38	8.92e-09	2.68e-07	Abnormal musculoskeletal physiology
RCTM	10	1.37e-08	2.76e-07	SUMOylation of DNA damage response and repair proteins
Process	7	3.85e-09	2.82e-07	V(D)J recombination
HPO	17	9.48e-09	2.84e-07	Short finger
HPO	9	9.65e-09	2.88e-07	Neoplasm of the pancreas
HPO	9	9.65e-09	2.88e-07	Ovarian neoplasm
HPO	14	9.91e-09	2.94e-07	Neoplasm of the genitourinary tract
Process	8	4.26e-09	3.11e-07	Positive regulation of cell cycle G2/M phase transition
HPO	10	1.08e-08	3.2e-07	Elbow dislocation
Process	6	4.44e-09	3.22e-07	Telomeric D-loop disassembly
HPO	32	1.12e-08	3.32e-07	Visual impairment
HPO	11	1.18e-08	3.49e-07	Severe short stature
HPO	7	1.21e-08	3.55e-07	Hypoplastic labia minora
Process	65	4.91e-09	3.55e-07	Positive regulation of cellular metabolic process
Function	6	4.44e-09	3.71e-07	Flap endonuclease activity
Process	7	5.22e-09	3.75e-07	Negative regulation of double-strand break repair via homologous recombination
HPO	24	1.37e-08	4.03e-07	Abnormal finger phalanx morphology
HPO	15	1.38e-08	4.04e-07	Micropenis
HPO	8	1.42e-08	4.14e-07	High pitched voice
Process	9	6.08e-09	4.36e-07	Regulation of cell cycle checkpoint
HPO	7	1.56e-08	4.55e-07	Epispadias
Process	8	6.51e-09	4.64e-07	Negative regulation of double-strand break repair
InterPro	6	8.4e-10	4.64e-07	MCM N-terminal domain
InterPro	6	8.4e-10	4.64e-07	Mini-chromosome maintenance, conserved site
RCTM	6	2.33e-08	4.66e-07	Inhibition of replication initiation of damaged DNA by RB1/E2F1
RCTM	6	2.33e-08	4.66e-07	Telomere C-strand synthesis initiation
HPO	8	1.7e-08	4.95e-07	Abnormal male internal genitalia morphology
HPO	9	1.72e-08	4.98e-07	Cachexia
Process	11	7.15e-09	5.07e-07	Protein localization to chromosome
HPO	7	2e-08	5.78e-07	Clitoral hypoplasia
HPO	8	2.03e-08	5.85e-07	Hypoplasia of the radius
COMPARTMENTS	6	1.61e-08	6.06e-07	Endodeoxyribonuclease complex
TISSUES	22	1.83e-09	6.36e-07	Bone marrow cancer cell
Process	7	9.23e-09	6.49e-07	Blastocyst growth
RCTM	6	3.3e-08	6.49e-07	Early Phase of HIV Life Cycle
RCTM	13	3.34e-08	6.52e-07	SUMO E3 ligases SUMOylate target proteins
HPO	12	2.3e-08	6.59e-07	Proportionate short stature
HPO	44	2.32e-08	6.63e-07	Abnormality of movement
HPO	6	2.33e-08	6.65e-07	Defective DNA repair after ultraviolet radiation damage
Function	9	8.3e-09	6.82e-07	3-5 exonuclease activity
HPO	7	2.54e-08	7.23e-07	Absent radius
Process	6	1.08e-08	7.56e-07	Single strand break repair
TISSUES	16	2.55e-09	7.73e-07	Chronic lymphocytic leukemia cell
Function	6	1.08e-08	8.73e-07	3-5 DNA helicase activity
COMPARTMENTS	5	2.36e-08	8.76e-07	ATR-ATRIP complex
COMPARTMENTS	5	2.36e-08	8.76e-07	Alpha DNA polymerase:primase complex
COMPARTMENTS	5	2.36e-08	8.76e-07	Epsilon DNA polymerase complex
COMPARTMENTS	5	2.36e-08	8.76e-07	RecQ family helicase-topoisomerase III complex
HPO	6	3.3e-08	9.29e-07	Bird-like facies
HPO	6	3.3e-08	9.29e-07	Ankyloblepharon
RCTM	9	4.87e-08	9.42e-07	p53-Dependent G1 DNA Damage Response
Component	5	2.36e-08	9.47e-07	Epsilon DNA polymerase complex
Component	5	2.36e-08	9.47e-07	Alpha DNA polymerase:primase complex
DISEASES	6	7.04e-09	9.52e-07	Cockayne syndrome
DISEASES	32	7.56e-09	9.92e-07	Cancer
Keyword	16	4.39e-08	1.02e-06	Mitosis
Keyword	5	4.29e-08	1.02e-06	Cockayne syndrome
Keyword	23	4.27e-08	1.02e-06	Magnesium
Process	59	1.48e-08	1.03e-06	Negative regulation of macromolecule metabolic process
HPO	15	3.94e-08	1.11e-06	Abnormal granulocyte count
DISEASES	27	9.09e-09	1.15e-06	Physical disorder
DISEASES	20	8.98e-09	1.15e-06	Endocrine system disease
Keyword	22	5.78e-08	1.25e-06	Host-virus interaction
Process	12	1.96e-08	1.36e-06	Positive regulation of DNA repair
RCTM	5	7.3e-08	1.38e-06	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
COMPARTMENTS	5	4.29e-08	1.5e-06	Dbf4-dependent protein kinase complex
COMPARTMENTS	5	4.29e-08	1.5e-06	Holliday junction resolvase complex
Process	5	2.36e-08	1.63e-06	DNA ligation involved in DNA repair
Process	5	2.36e-08	1.63e-06	Mitotic DNA replication initiation
Process	5	2.36e-08	1.63e-06	Positive regulation of DNA primase activity
WikiPathways	10	6.63e-08	1.79e-06	p53 transcriptional gene network
KEGG	10	8.02e-08	1.92e-06	Small cell lung cancer
HPO	15	6.94e-08	1.93e-06	Abnormal epiphysis morphology
Process	9	2.94e-08	1.97e-06	Cellular senescence
Process	13	2.92e-08	1.97e-06	Regulation of G1/S transition of mitotic cell cycle
HPO	8	7.35e-08	2.04e-06	Ectopic kidney
HPO	11	7.6e-08	2.1e-06	Genital neoplasm
HPO	31	7.91e-08	2.18e-06	Abnormal vascular morphology
Process	13	3.34e-08	2.23e-06	Intrinsic apoptotic signaling pathway
NetworkNeighborAL	5	2.36e-08	2.35e-06	Replication fork arrest, and GINS complex protein
NetworkNeighborAL	5	2.36e-08	2.35e-06	GINS complex, and Minichromosome  maintenance proteins
NetworkNeighborAL	5	2.36e-08	2.35e-06	Response to intra-S DNA damage checkpoint signaling, and Crossover junction endodeoxyribonuclease activity
NetworkNeighborAL	5	2.36e-08	2.35e-06	Nonhomologous end joining complex
NetworkNeighborAL	5	2.36e-08	2.35e-06	Xeroderma pigmentosum group A, and XFE progeroid syndrome
COMPARTMENTS	5	7.3e-08	2.47e-06	Ctf18 RFC-like complex
TISSUES	101	9.29e-09	2.5e-06	Female reproductive system
Process	18	3.85e-08	2.56e-06	Negative regulation of organelle organization
Process	7	3.99e-08	2.64e-06	Somatic diversification of immunoglobulins involved in immune response
Component	5	7.3e-08	2.82e-06	DNA recombinase mediator complex
Component	5	7.3e-08	2.82e-06	Ctf18 RFC-like complex
DISEASES	5	2.36e-08	2.85e-06	Ataxia telangiectasia
HPO	11	1.04e-07	2.86e-06	Abnormal conjunctiva morphology
RCTM	7	1.57e-07	2.94e-06	Transcriptional Regulation by E2F6
Function	8	3.98e-08	3.17e-06	4 iron, 4 sulfur cluster binding
Process	25	4.93e-08	3.25e-06	Protein ubiquitination
Process	7	4.94e-08	3.25e-06	Positive regulation of G2/M transition of mitotic cell cycle
Function	5	4.29e-08	3.36e-06	Four-way junction helicase activity
TISSUES	56	1.43e-08	3.46e-06	Organism form
RCTM	7	1.87e-07	3.47e-06	Regulation of TP53 Degradation
Function	6	4.58e-08	3.53e-06	Endodeoxyribonuclease activity, producing 5-phosphomonoesters
HPO	16	1.36e-07	3.74e-06	Sparse hair
HPO	12	1.37e-07	3.75e-06	Neutropenia
NetworkNeighborAL	5	4.29e-08	3.85e-06	Checkpoint clamp complex
DISEASES	33	3.33e-08	3.93e-06	Disease of cellular proliferation
Component	23	1.06e-07	3.94e-06	Centrosome
COMPARTMENTS	20	1.23e-07	4.1e-06	Centrosome
COMPARTMENTS	9	1.36e-07	4.47e-06	Condensed nuclear chromosome
Process	5	7.3e-08	4.77e-06	Telomere maintenance via semi-conservative replication
Process	5	7.3e-08	4.77e-06	Regulation of t-circle formation
Process	7	7.44e-08	4.82e-06	Negative regulation of telomere maintenance via telomere lengthening
Process	18	7.6e-08	4.88e-06	Response to oxidative stress
HPO	21	1.79e-07	4.88e-06	Short digit
DISEASES	5	4.29e-08	4.93e-06	Li-Fraumeni syndrome
DISEASES	5	4.29e-08	4.93e-06	Bloom syndrome
