category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Process	GO:0051052	29	541	9606	CDC6,MCM5,CHRAC1,GMNN,MAD2L2,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE3,CDK1,CDKN1A,CDC7,GINS3,CDKN2A,POLG2,MCM3,CCNA2,PRIM2	CDC6,MCM5,CHRAC1,GMNN,MAD2L2,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE3,CDK1,CDKN1A,CDC7,GINS3,CDKN2A,POLG2,MCM3,CCNA2,PRIM2	8.710000000000001e-27	6.5099999999999996e-24	Regulation of DNA metabolic process
Process	GO:0022402	33	835	9606	CDC6,GMNN,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,MCMBP,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	CDC6,GMNN,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,MCMBP,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	1.04e-26	7.41e-24	Cell cycle process
Component	GO:0070013	62	5660	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	3.46e-26	1.0099999999999999e-23	Intracellular organelle lumen
PMID	PMID:33116820	16	29	9606	CDC6,ORC6,MCM4,MCM6,POLA2,DBF4,CDT1,CDC25A,MCM7,MCM8,POLA1,CDC7,MCM10,MCM3,PRIM2,MCM8-2	CDC6,ORC6,MCM4,MCM6,POLA2,DBF4,CDT1,CDC25A,MCM7,MCM8,POLA1,CDC7,MCM10,MCM3,PRIM2,MCM8-2	4.45e-29	1.2199999999999999e-23	(2020) MCM10 Acts as a Potential Prognostic Biomarker and Promotes Cell Proliferation in Hepatocellular Carcinoma: Integrated Bioinformatics Analysis and Experimental Validation.
Process	GO:0006281	28	497	9606	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,MCM7,MCM9,POLE,REV3L,WDHD1,DTL,RPA4,MCM8,POLA1,CDK1,CDC7,POLG,MCMDC2,POLG2,POLD2,MCM3	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,MCM7,MCM9,POLE,REV3L,WDHD1,DTL,RPA4,MCM8,POLA1,CDK1,CDC7,POLG,MCMDC2,POLG2,POLD2,MCM3	2.2600000000000002e-26	1.54e-23	DNA repair
RCTM	HSA-69481	20	149	9606	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDK1,CDC7,MCM10,ORC4,MCM3	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDK1,CDC7,MCM10,ORC4,MCM3	1.11e-25	1.5799999999999998e-23	G2/M Checkpoints
PMID	PMID:22615851	19	77	9606	CDC6,ORC6,CCNA1,ORC3,CDK4,DBF4,CDK6,CDK2,SKP2,ORC5,CDT1,CDC25A,E2F1,CDK1,CDKN1A,CDC7,CCNE2,ORC4,CCNA2	CDC6,ORC6,CCNA1,ORC3,CDK4,DBF4,CDK6,CDK2,SKP2,ORC5,CDT1,CDC25A,E2F1,CDK1,CDKN1A,CDC7,CCNE2,ORC4,CCNA2	6.3e-29	1.62e-23	(2012) Transcriptome characterization by RNA-seq unravels the mechanisms of butyrate-induced epigenomic regulation in bovine cells.
Component	GO:0140513	37	1290	9606	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,CDK6,RB1,GINS4,ORC5,MCM7,POLE,E2F1,PRIM1,ORC1,RPA4,POLE3,POLA1,CRCP,CDKN1A,GINS3,MCM10,POLE4,ORC4,ELOC,POLD2,MCM3,PRIM2	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,CDK6,RB1,GINS4,ORC5,MCM7,POLE,E2F1,PRIM1,ORC1,RPA4,POLE3,POLA1,CRCP,CDKN1A,GINS3,MCM10,POLE4,ORC4,ELOC,POLD2,MCM3,PRIM2	1.41e-25	2.9e-23	Nuclear protein-containing complex
PMID	PMID:32597491	15	21	9606	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,CDK2,SKP2,CDT1,MCM7,MCM9,MCM8,MCM10,MCM3,MCM8-2	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,CDK2,SKP2,CDT1,MCM7,MCM9,MCM8,MCM10,MCM3,MCM8-2	1.43e-28	3.48e-23	(2020) Elevated expression of minichromosome maintenance 3 indicates poor outcomes and promotes G1S cell cycle progression, proliferation, migration and invasion in colorectal cancer.
PMID	PMID:31556113	16	33	9606	CDC6,CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,TICRR,SKP2,CDT1,MCM7,MCMBP,CDK1,CDC7,MCM10,CCNA2	CDC6,CCNA1,CDK4,CCNE1,DBF4,CDK6,CDK2,TICRR,SKP2,CDT1,MCM7,MCMBP,CDK1,CDC7,MCM10,CCNA2	2.28e-28	5.2599999999999997e-23	(2019) Preparation for DNA replication: the key to a successful S phase.
Component	GO:1990234	32	847	9606	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	3.1e-25	5.759999999999999e-23	Transferase complex
PMID	PMID:28025526	16	34	9606	CDC6,MCM5,ORC6,CCNA1,CDK4,MCM4,MCM6,DBF4,CDK2,SKP2,ORC5,CDT1,MCM7,DTL,CDK1,CCNA2	CDC6,MCM5,ORC6,CCNA1,CDK4,MCM4,MCM6,DBF4,CDK2,SKP2,ORC5,CDT1,MCM7,DTL,CDK1,CCNA2	3.35e-28	7.319999999999999e-23	(2016) Regulation and Function of Cdt1; A Key Factor in Cell Proliferation and Genome Stability.
NetworkNeighborAL	CL:6462	13	14	9606	CDC6,ORC6,ORC2,ORC3,MCM4,MCM6,DBF4,ORC5,ORC1,CDC7,MCM10,ORC4,MCM3	CDC6,ORC6,ORC2,ORC3,MCM4,MCM6,DBF4,ORC5,ORC1,CDC7,MCM10,ORC4,MCM3	6.640000000000001e-26	1.01e-22	CDC6 association with the ORC:origin complex, and Double-strand break repair via break-induced replication
Process	GO:0044238	66	7156	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	1.58e-25	1.0300000000000001e-22	Primary metabolic process
PMID	PMID:22309699	16	37	9606	CDC6,ORC6,CCNA1,MCM6,DBF4,CDK2,TICRR,ORC5,CDT1,MCM7,ORC1,CDK1,CDC7,MCM10,MCM3,CCNA2	CDC6,ORC6,CCNA1,MCM6,DBF4,CDK2,TICRR,ORC5,CDT1,MCM7,ORC1,CDK1,CDC7,MCM10,MCM3,CCNA2	1e-27	2.0900000000000002e-22	(2012) Polo-like kinase 1 (Plk1): an Unexpected Player in DNA Replication.
PMID	PMID:32190287	16	37	9606	CDC6,POLE2,POLD3,POLA2,DBF4,GINS4,CDT1,PRIM1,WDHD1,POLE3,POLA1,GINS3,MCM10,POLE4,POLD2,PRIM2	CDC6,POLE2,POLD3,POLA2,DBF4,GINS4,CDT1,PRIM1,WDHD1,POLE3,POLA1,GINS3,MCM10,POLE4,POLD2,PRIM2	1e-27	2.0900000000000002e-22	(2020) The replisome guides nucleosome assembly during DNA replication.
PMID	PMID:33568178	15	25	9606	CDC6,MCM5,ORC6,MCM4,MCM6,DBF4,CDK2,TICRR,GINS4,CDT1,MCM7,CDK1,GINS3,MCM3,CCNA2	CDC6,MCM5,ORC6,MCM4,MCM6,DBF4,CDK2,TICRR,GINS4,CDT1,MCM7,CDK1,GINS3,MCM3,CCNA2	1.02e-27	2.0900000000000002e-22	(2021) The CRK2-CYC13 complex functions as an S-phase cyclin-dependent kinase to promote DNA replication in Trypanosoma brucei.
COMPARTMENTS	GOCC:1990234	32	892	9606	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,SKP2,POLE,PRIM1,REV3L,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	1.45e-24	2.38e-22	Transferase complex
PMID	PMID:25117490	14	16	9606	CDC6,MCM5,GINS2,MCM4,GINS1,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,CDC7,GINS3,MCM3	CDC6,MCM5,GINS2,MCM4,GINS1,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,CDC7,GINS3,MCM3	1.3600000000000002e-27	2.48e-22	(2014) DNA binding polarity, dimerization, and ATPase ring remodeling in the CMG helicase of the eukaryotic replisome.
PMID	PMID:23075259	16	39	9606	CDC6,GMNN,MCM6,DBF4,CDK2,TICRR,ORC5,CDT1,MCM7,MCM9,MCMBP,WDHD1,MCM8,MCM10,MCM3,MCM8-2	CDC6,GMNN,MCM6,DBF4,CDK2,TICRR,ORC5,CDT1,MCM7,MCM9,MCMBP,WDHD1,MCM8,MCM10,MCM3,MCM8-2	2e-27	3.5000000000000005e-22	(2012) Emerging players in the initiation of eukaryotic DNA replication.
PMID	PMID:28191893	14	17	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,ORC5,CDT1,MCM7,CDC7,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,ORC5,CDT1,MCM7,CDC7,ORC4,MCM3	2.47e-27	4.16e-22	(2017) Structural basis of Mcm2-7 replicative helicase loading by ORC-Cdc6 and Cdt1.
NetworkNeighborAL	CL:6519	14	28	9606	POLE2,POLD3,POLA2,DONSON,POLE,PRIM1,RPA4,POLE3,POLA1,POLG,POLE4,POLG2,POLD2,PRIM2	POLE2,POLD3,POLA2,DONSON,POLE,PRIM1,RPA4,POLE3,POLA1,POLG,POLE4,POLG2,POLD2,PRIM2	4.78e-25	5.47e-22	Polymerase switching, and Epsilon DNA polymerase complex
COMPARTMENTS	GOCC:0043232	50	3309	9606	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2	3.6499999999999996e-24	5.600000000000001e-22	Intracellular non-membrane-bounded organelle
PMID	PMID:28094588	15	29	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,ORC5,MCM7,WDHD1,CDC7,MCM10,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,ORC5,MCM7,WDHD1,CDC7,MCM10,ORC4,MCM3	5.78e-27	9.38e-22	(2017) Mechanisms and regulation of DNA replication initiation in eukaryotes.
PMID	PMID:33167799	14	19	9606	MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,MCM7,MCM9,E2F1,MCM8,MCM10,ORC4,MCM3,MCM8-2	MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,MCM7,MCM9,E2F1,MCM8,MCM10,ORC4,MCM3,MCM8-2	7.580000000000001e-27	1.19e-21	(2020) Comprehensive Analysis of the Expression and Prognosis for MCMs in Human Gastric Cancer.
PMID	PMID:24705291	16	44	9606	CDC6,CCNA1,CDK4,DBF4,CDK2,TICRR,CDT1,CDC25A,MCM9,MCMBP,WDHD1,MCM8,CDC7,MCM10,CCNA2,MCM8-2	CDC6,CCNA1,CDK4,DBF4,CDK2,TICRR,CDT1,CDC25A,MCM9,MCMBP,WDHD1,MCM8,CDC7,MCM10,CCNA2,MCM8-2	9.910000000000001e-27	1.5e-21	(2014) Molecular mechanisms of DNA replication checkpoint activation.
PMID	PMID:23746253	14	20	9606	CDC6,MCM5,ORC6,ORC3,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,CDK1,GINS3,MCM10,ORC4	CDC6,MCM5,ORC6,ORC3,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,CDK1,GINS3,MCM10,ORC4	1.2900000000000001e-26	1.88e-21	(2013) Mechanisms for initiating cellular DNA replication.
NetworkNeighborAL	CL:6901	14	33	9606	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	3.0499999999999998e-24	2.79e-21	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase regulator activity
Process	GO:0008152	67	7988	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	5.41e-24	3.2600000000000002e-21	Metabolic process
PMID	PMID:22918587	14	22	9606	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,MCM9,WDHD1,MCM8,CDC7,MCM10,MCM8-2	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,MCM9,WDHD1,MCM8,CDC7,MCM10,MCM8-2	3.49e-26	4.9300000000000006e-21	(2012) Structural biology of replication initiation factor Mcm10.
PMID	PMID:22412905	14	22	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,CDT1,MCM7,MCM9,MCM8,ORC4,MCM3,MCM8-2	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,CDT1,MCM7,MCM9,MCM8,ORC4,MCM3,MCM8-2	3.49e-26	4.9300000000000006e-21	(2012) Identification of ORC1CDC6-interacting factors in Trypanosoma brucei reveals critical features of origin recognition complex architecture.
PMID	PMID:29123096	15	35	9606	CDC6,GINS2,MCM4,DBF4,CDK2,TICRR,GINS4,CDT1,CDC25A,MCM7,POLE,WDHD1,CDC7,GINS3,MCM10	CDC6,GINS2,MCM4,DBF4,CDK2,TICRR,GINS4,CDT1,CDC25A,MCM7,POLE,WDHD1,CDC7,GINS3,MCM10	5.57e-26	7.4e-21	(2017) ATR kinase inhibition induces unscheduled origin firing through a Cdc7-dependent association between GINS and And-1.
NetworkNeighborAL	CL:6521	12	14	9606	POLE2,POLD3,POLA2,POLE,PRIM1,POLE3,POLA1,POLG,POLE4,POLG2,POLD2,PRIM2	POLE2,POLD3,POLA2,POLE,PRIM1,POLE3,POLA1,POLG,POLE4,POLG2,POLD2,PRIM2	1.1099999999999999e-23	8.44e-21	DNA polymerase complex
Keyword	KW-0131	28	651	9606	CDC6,MCM5,GMNN,MAD2L2,CCNA1,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,CDT1,CDC25A,MCM7,E2F1,MCMBP,MCM8,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,MCM3,CCNA2	CDC6,MCM5,GMNN,MAD2L2,CCNA1,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,CDT1,CDC25A,MCM7,E2F1,MCMBP,MCM8,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,MCM3,CCNA2	2.6099999999999997e-23	8.78e-21	Cell cycle
PMID	PMID:31303963	17	70	9606	CDC6,MCM5,ORC6,CCNA1,MCM4,MCM6,CDK2,SKP2,CDT1,MCM7,E2F1,CDKN1A,CDC7,CCNE2,ORC4,MCM3,CCNA2	CDC6,MCM5,ORC6,CCNA1,MCM4,MCM6,CDK2,SKP2,CDT1,MCM7,E2F1,CDKN1A,CDC7,CCNE2,ORC4,MCM3,CCNA2	8.260000000000001e-26	1.06e-20	(2019) Comparative RNA-seq analysis reveals dys-regulation of major canonical pathways in ERG-inducible LNCaP cell progression model of prostate cancer.
PMID	PMID:32413071	14	24	9606	CDC6,MCM5,POLE2,MCM4,MCM6,DBF4,GINS4,CDT1,POLE,WDHD1,GINS3,MCM10,ORC4,MCM3	CDC6,MCM5,POLE2,MCM4,MCM6,DBF4,GINS4,CDT1,POLE,WDHD1,GINS3,MCM10,ORC4,MCM3	8.84e-26	1.11e-20	(2020) DNA replication protein Cdc45 directly interacts with PCNA via its PIP box in Leishmania donovani and the Cdc45 PIP box is essential for cell survival.
PMID	PMID:31052337	16	52	9606	CDC6,MCM5,RBX1,GINS2,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,MCM9,MCM8,CDC7,MCM10,MCM3,MCM8-2	CDC6,MCM5,RBX1,GINS2,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,MCM9,MCM8,CDC7,MCM10,MCM3,MCM8-2	9.54e-26	1.16e-20	(2019) Post-Translational Modifications of the Mini-Chromosome Maintenance Proteins in DNA Replication.
Keyword	KW-0539	58	5278	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,GINS3,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,GINS3,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2	5.2e-23	1.16e-20	Nucleus
PMID	PMID:29725503	16	52	9606	CDC6,MCM5,CCNA1,CDK4,MCM4,CCNE1,MCM6,CDK6,CDK2,SKP2,MCM7,E2F1,CDK1,CCNE2,MCM3,CCNA2	CDC6,MCM5,CCNA1,CDK4,MCM4,CCNE1,MCM6,CDK6,CDK2,SKP2,MCM7,E2F1,CDK1,CCNE2,MCM3,CCNA2	9.54e-26	1.16e-20	(2018) miRNA involvement in cell cycle regulation in colorectal cancer cases.
PMID	PMID:20465793	17	71	9606	CDC6,MCM5,CCNA1,ORC3,MCM4,MCM6,DBF4,CDK2,ORC5,CDT1,MCM7,CDK1,CDC7,CDKN2A,ORC4,MCM3,CCNA2	CDC6,MCM5,CCNA1,ORC3,MCM4,MCM6,DBF4,CDK2,ORC5,CDT1,MCM7,CDK1,CDC7,CDKN2A,ORC4,MCM3,CCNA2	1.02e-25	1.18e-20	(2010) An overview of Cdk1-controlled targets and processes.
PMID	PMID:35023948	13	15	9606	CDC6,MCM5,ORC6,GMNN,GINS2,CCNA1,CDK2,CDT1,DONSON,MCM7,ORC4,MCM3,CCNA2	CDC6,MCM5,ORC6,GMNN,GINS2,CCNA1,CDK2,CDT1,DONSON,MCM7,ORC4,MCM3,CCNA2	1.24e-25	1.39e-20	(2022) Novel Compound Heterozygous Variants in the CDC6 Gene in a Russian Patient with Meier-Gorlin Syndrome.
PMID	PMID:29934570	16	53	9606	CDC6,MCM5,MAD2L2,CCNA1,CDK4,MCM4,CDK6,CDK2,SKP2,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,MCM3,CCNA2	CDC6,MCM5,MAD2L2,CCNA1,CDK4,MCM4,CDK6,CDK2,SKP2,CDC25A,E2F1,CDK1,CDKN1A,CDKN2A,MCM3,CCNA2	1.24e-25	1.39e-20	(2018) Nintedanib inhibits growth of human prostate carcinoma cells by modulating both cell cycle and angiogenesis regulators.
PMID	PMID:32943574	14	25	9606	MCM5,RBX1,MCM4,ELOB,MCM6,TICRR,LRR1,MCM7,WDHD1,GINS3,CUL2,MCM10,ELOC,MCM3	MCM5,RBX1,MCM4,ELOB,MCM6,TICRR,LRR1,MCM7,WDHD1,GINS3,CUL2,MCM10,ELOC,MCM3	1.38e-25	1.47e-20	(2020) The DNA replication fork suppresses CMG unloading from chromatin before termination.
PMID	PMID:31737652	16	55	9606	CDC6,MCM5,POLE2,CDK4,MCM4,CCNE1,MCM6,MCM7,RRM2,POLA1,CDK1,CDC7,CDKN2A,CCNE2,MCM3,CCNA2	CDC6,MCM5,POLE2,CDK4,MCM4,CCNE1,MCM6,MCM7,RRM2,POLA1,CDK1,CDC7,CDKN2A,CCNE2,MCM3,CCNA2	2.06e-25	2.15e-20	(2019) CDK1, CCNB1, CDC20, BUB1, MAD2L1, MCM3, BUB1B, MCM2, and RFC4 May Be Potential Therapeutic Targets for Hepatocellular Carcinoma Using Integrated Bioinformatic Analysis.
PMID	PMID:28042959	13	16	9606	CDC6,MCM5,ORC6,ORC3,MCM4,CCNE1,MCM6,CDK2,ORC5,MCM7,ORC4,MCM3,CCNA2	CDC6,MCM5,ORC6,ORC3,MCM4,CCNE1,MCM6,CDK2,ORC5,MCM7,ORC4,MCM3,CCNA2	2.23e-25	2.27e-20	(2017) High throughput estimation of functional cell activities reveals disease mechanisms and predicts relevant clinical outcomes.
